Id,Label,timeset,latitude,longitude,indegree,outdegree,Degree,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
SUJ,SUJ,,47.7033,22.8857,1,1,2,0,0,9,0.24729,0.259627,0,2,0.000061
TGM,TGM,,46.467701,24.4125,2,4,6,0.666667,4,9,0.249762,0.265372,0.154438,2,0.0001
TSR,TSR,,45.809898,21.3379,12,12,24,0.606061,40,8,0.292022,0.313467,11.783164,2,0.000202
GVA,GVA,,46.238098,6.10895,99,100,199,0.371919,1841,8,0.350635,0.391805,8019.671135,2,0.00149
LUG,LUG,,46.004299,8.91058,2,2,4,1,1,8,0.279574,0.294863,0,2,0.000073
BRN,BRN,,46.914101,7.49715,12,12,24,0.666667,44,8,0.296561,0.318508,36.829005,2,0.000215
ZRH,ZRH,,47.464699,8.54917,134,135,269,0.285462,2582,7,0.383528,0.425982,41331.769364,2,0.002102
ACH,ACH,,47.485001,9.56077,2,2,4,0,0,8,0.267482,0.282774,1.641724,2,0.000084
ESB,ESB,,40.128101,32.995098,41,39,80,0.168293,138,8,0.305631,0.332248,7843.793845,4,0.000962
ADA,ADA,,36.982201,35.280399,10,10,20,0.6,27,8,0.287069,0.308004,51.723195,4,0.000228
AYT,AYT,,36.898701,30.800501,64,63,127,0.240865,501,8,0.316318,0.350627,5158.228996,2,0.00102
GZT,GZT,,36.947201,37.478699,5,5,10,0.9,9,8,0.282966,0.301576,0.251489,4,0.000134
KYA,KYA,,37.979,32.561901,3,2,5,0.666667,2,8,0.296841,0.317218,0.251489,2,0.000094
MLX,MLX,,38.353699,38.253899,3,3,6,0.666667,2,8,0.282865,0.301153,0.251489,4,0.0001
MZH,MZH,,40.829399,35.521999,2,2,4,0,0,8,0.282788,0.300888,0.251489,4,0.00008
VAS,VAS,,39.813801,36.9035,3,3,6,0.666667,2,8,0.282865,0.301153,0.251489,2,0.000094
ASR,ASR,,38.770401,35.495399,5,5,10,0.9,9,8,0.297571,0.318807,0.251489,2,0.000121
DNZ,DNZ,,37.785599,29.7013,2,2,4,0,0,8,0.282788,0.300888,0.251489,4,0.00008
IST,IST,,40.976898,28.8146,224,221,445,0.116119,3058,7,0.39164,0.445421,216077.39221,4,0.004472
ADB,ADB,,38.2924,27.157,45,44,89,0.385859,382,8,0.314926,0.345629,2238.528228,2,0.000768
DLM,DLM,,36.7131,28.7925,28,28,56,0.371921,151,8,0.311807,0.340767,451.429131,2,0.000443
EZS,EZS,,38.606899,39.291401,4,4,8,0.833333,5,8,0.282941,0.301417,0.251489,4,0.000114
DIY,DIY,,37.893902,40.201,4,4,8,0.833333,5,8,0.282941,0.301417,0.251489,4,0.000114
ERC,ERC,,39.710201,39.527,3,3,6,0.666667,2,8,0.282865,0.301153,0.251489,4,0.0001
ERZ,ERZ,,39.956501,41.1702,3,3,6,0.666667,2,8,0.282865,0.301153,0.251489,4,0.0001
TZX,TZX,,40.995098,39.7897,7,7,14,0.714286,15,8,0.283834,0.303297,4.52123,4,0.000163
VAN,VAN,,38.468201,43.332298,4,4,8,0.833333,5,8,0.28289,0.301311,0.251489,4,0.000119
BAL,BAL,,37.929001,41.1166,3,3,6,0.666667,2,8,0.282865,0.301153,0.251489,4,0.0001
KIV,KIV,,46.9277,28.931,25,25,50,0.466667,140,8,0.311313,0.339406,438.547877,2,0.000406
SKP,SKP,,41.961601,21.621401,22,22,44,0.281385,65,8,0.304862,0.329515,756.713514,2,0.00035
GIB,GIB,,36.151199,-5.34966,5,5,10,0.1,1,8,0.29567,0.314367,2.069147,2,0.000114
BEG,BEG,,44.818401,20.309099,51,51,102,0.425882,543,8,0.326116,0.356653,2466.356132,2,0.000792
TGD,TGD,,42.359402,19.2519,12,12,24,0.651515,43,8,0.310423,0.336229,60.566714,2,0.000218
PRN,PRN,,42.5728,21.035801,17,17,34,0.757353,103,8,0.30439,0.327962,3.513888,2,0.000276
TIV,TIV,,42.404701,18.723301,6,6,12,0.6,9,8,0.302024,0.324323,5.837921,11,0.000138
BTS,BTS,,48.1702,17.2127,18,18,36,0.490196,75,8,0.274575,0.298532,89.490849,2,0.000286
KSC,KSC,,48.663101,21.2411,4,4,8,0.666667,4,8,0.270354,0.288068,1.555017,2,0.000099
PLS,PLS,,21.7736,-72.2659,20,20,40,0.452381,95,7,0.305898,0.328927,11690.172341,9,0.000556
XSC,XSC,,21.515699,-71.528503,2,2,4,1,1,8,0.234296,0.244075,0,9,0.000132
LRM,LRM,,18.450701,-68.911797,8,8,16,0.5,18,8,0.30159,0.322054,78.01114,9,0.000203
PUJ,PUJ,,18.5674,-68.363403,43,46,89,0.43617,492,7,0.342286,0.375697,10852.643335,9,0.000929
POP,POP,,19.7579,-70.57,11,14,25,0.616667,74,7,0.315115,0.339013,333.020748,9,0.000334
SDQ,SDQ,,18.429701,-69.6689,28,27,55,0.471264,205,8,0.320081,0.350402,1808.264979,9,0.000654
STI,STI,,19.406099,-70.604698,8,8,16,0.857143,24,8,0.292973,0.311947,3.610547,9,0.000198
GUA,GUA,,14.5833,-90.527496,21,19,40,0.614286,129,8,0.317755,0.341867,2991.118606,9,0.000526
LCE,LCE,,15.7425,-86.852997,6,7,13,0.190476,4,8,0.237764,0.248683,6359.247406,9,0.000336
SAP,SAP,,15.4526,-87.923599,15,15,30,0.685714,72,8,0.297852,0.32064,2452.696708,9,0.000382
GJA,GJA,,16.4454,-85.906601,1,1,2,0,0,9,0.192103,0.197574,0,9,0.000088
RTB,RTB,,16.316799,-86.523003,9,10,19,0.755556,34,8,0.289791,0.310341,1503.615294,9,0.000276
TGU,TGU,,14.0609,-87.217201,11,11,22,0.672727,37,8,0.286286,0.307507,4031.314611,9,0.000329
KIN,KIN,,17.935699,-76.787498,19,19,38,0.532164,91,7,0.304862,0.329484,214.865247,9,0.000419
MBJ,MBJ,,18.5037,-77.913399,27,26,53,0.642857,261,7,0.327848,0.354139,585.975966,9,0.000558
ACA,ACA,,16.757099,-99.753998,5,5,10,0.6,6,8,0.277675,0.294706,12.267948,9,0.000152
AGU,AGU,,21.705601,-102.318001,7,7,14,0.809524,17,8,0.294839,0.312471,13.482622,9,0.000189
HUX,HUX,,15.7753,-96.262604,2,2,4,1,1,8,0.277259,0.29379,0,9,0.000089
CME,CME,,18.6537,-91.799004,2,2,4,1,1,8,0.277259,0.29379,0,9,0.000089
CUL,CUL,,24.7645,-107.474998,7,7,14,0.857143,18,8,0.264983,0.279344,0.905163,9,0.000199
CTM,CTM,,18.5047,-88.326797,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
CEN,CEN,,27.392599,-109.833,4,4,8,1,6,8,0.264271,0.278329,0,9,0.000135
CPE,CPE,,19.816799,-90.500298,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
CJS,CJS,,31.636101,-106.429001,6,6,12,1,15,8,0.264316,0.278647,0,9,0.000177
CUU,CUU,,28.7029,-105.964996,10,10,20,0.755556,34,8,0.284526,0.302932,64.898147,9,0.00026
CVM,CVM,,23.7033,-98.956497,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
CZM,CZM,,20.5224,-86.925598,9,9,18,1,36,8,0.302053,0.323529,0,9,0.000225
DGO,DGO,,24.124201,-104.528,4,4,8,0.666667,4,8,0.292212,0.308545,6.653169,9,0.000131
TPQ,TPQ,,21.4195,-104.843002,2,2,4,1,1,8,0.26385,0.27735,0,9,0.000093
GDL,GDL,,20.521799,-103.310997,41,41,82,0.306098,251,8,0.306643,0.331754,3337.442764,9,0.000928
HMO,HMO,,29.0959,-111.047996,13,13,26,0.5,39,8,0.290299,0.306795,481.314205,9,0.000346
CLQ,CLQ,,19.277,-103.577004,2,2,4,1,1,8,0.26385,0.27735,0,9,0.000093
SLW,SLW,,25.5495,-100.929001,2,2,4,1,1,8,0.277259,0.29379,0,9,0.000089
LZC,LZC,,18.001699,-102.221001,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
LMM,LMM,,25.6852,-109.081001,5,5,10,0.9,9,8,0.264294,0.278488,0.142857,9,0.000158
BJX,BJX,,20.9935,-101.481003,10,10,20,0.733333,33,8,0.299581,0.319289,28.138385,9,0.000243
LAP,LAP,,24.0727,-110.361999,6,6,12,0.933333,14,8,0.264316,0.278647,0.2,9,0.000179
LTO,LTO,,25.989201,-111.348,1,1,2,0,0,8,0.284784,0.298068,0,9,0.000067
MAM,MAM,,25.769899,-97.525299,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
MID,MID,,20.937,-89.6577,8,8,16,0.75,21,8,0.284192,0.303258,18.949534,9,0.000212
MXL,MXL,,32.6306,-115.241997,3,3,6,1,3,8,0.26194,0.275598,0,9,0.000113
MLM,MLM,,19.849899,-101.025002,7,7,14,0.619048,13,8,0.294757,0.312972,15.185695,9,0.000187
MTT,MTT,,18.103399,-94.580704,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
MEX,MEX,,19.4363,-99.072098,94,93,187,0.17067,746,7,0.354066,0.390444,77782.867173,9,0.002594
MTY,MTY,,25.7785,-100.107002,32,32,64,0.3125,155,8,0.299952,0.323495,1284.888635,9,0.000745
MZT,MZT,,23.1614,-106.265999,9,9,18,0.638889,23,8,0.291671,0.309498,230.042621,9,0.000242
NLD,NLD,,27.443899,-99.570503,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
OAX,OAX,,16.999901,-96.726601,5,5,10,0.9,9,8,0.279772,0.296937,1.761955,9,0.000149
PAZ,PAZ,,20.602699,-97.4608,3,3,6,0.666667,2,8,0.261549,0.274883,0.2,9,0.000123
PBC,PBC,,19.1581,-98.371399,6,6,12,0.866667,13,8,0.284116,0.301661,4.972471,9,0.000165
PDS,PDS,,28.627399,-100.535004,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
UPN,UPN,,19.3967,-102.039001,2,2,4,0,0,8,0.285248,0.299127,4.891214,9,0.000089
PVR,PVR,,20.680099,-105.253998,21,21,42,0.661905,139,8,0.313452,0.337199,432.01657,9,0.000475
PXM,PXM,,15.8769,-97.089104,1,1,2,0,0,8,0.261505,0.274565,0,9,0.000071
QRO,QRO,,20.6173,-100.185997,5,5,10,0.8,8,8,0.284064,0.301449,4.972471,9,0.000146
REX,REX,,26.0089,-98.2285,5,5,10,0.7,7,8,0.266486,0.281321,11.488988,9,0.000165
SJD,SJD,,23.1518,-109.721001,22,22,44,0.627706,145,8,0.309904,0.333406,632.841518,9,0.000489
SLP,SLP,,22.254299,-100.931,6,6,12,0.733333,11,8,0.284424,0.302296,7.094809,9,0.000175
TRC,TRC,,25.5683,-103.411003,6,6,12,1,15,8,0.28409,0.30191,0,9,0.000168
TGZ,TGZ,,16.563601,-93.022499,5,5,10,1,10,8,0.268807,0.283799,0,9,0.000149
TIJ,TIJ,,32.5411,-116.970001,31,32,63,0.16129,80,8,0.297234,0.318475,4401.242436,9,0.000835
TAM,TAM,,22.2964,-97.865898,5,5,10,1,10,8,0.27945,0.29655,0,9,0.00015
TLC,TLC,,19.337099,-99.566002,10,10,20,0.355556,16,8,0.274479,0.292377,38.911621,9,0.000246
TAP,TAP,,14.7943,-92.370003,2,2,4,1,1,8,0.261766,0.275147,0,9,0.000092
CUN,CUN,,21.036501,-86.877098,78,78,156,0.298457,967,7,0.350713,0.386791,22138.19796,9,0.001666
VSA,VSA,,17.997,-92.817398,8,8,16,0.75,21,8,0.279574,0.297133,48.675164,9,0.000226
VER,VER,,19.145901,-96.187302,9,9,18,0.722222,26,8,0.279922,0.297678,18.232248,9,0.000246
ZCL,ZCL,,22.8971,-102.686997,5,5,10,0.5,5,8,0.291725,0.309128,11.576467,9,0.00015
ZIH,ZIH,,17.601601,-101.460999,5,5,10,0.6,6,8,0.292484,0.309154,34.89157,9,0.000148
ZLO,ZLO,,19.1448,-104.558998,4,4,8,0.666667,4,8,0.292212,0.308545,6.653169,9,0.000131
MGA,MGA,,12.1415,-86.168198,8,8,16,0.964286,27,8,0.288781,0.309512,0.484432,9,0.000213
BOC,BOC,,9.34085,-82.250801,3,2,5,0.333333,1,8,0.24519,0.256651,9426,9,0.000252
CHX,CHX,,9.45864,-82.5168,1,1,2,1,1,9,0.196984,0.203075,0,9,0.000206
DAV,DAV,,8.391,-82.434998,2,2,4,0,0,8,0.245171,0.256492,6284,9,0.000164
PAC,PAC,,8.97334,-79.555603,5,4,9,0.066667,1,9,0.197033,0.20371,9439.5,9,0.00062
PTY,PTY,,9.07136,-79.383499,72,72,144,0.249218,637,7,0.344157,0.378408,35999.091213,9,0.001788
GLF,GLF,,8.65401,-83.182198,2,2,4,1,1,8,0.245019,0.256148,0,9,0.000132
LIR,LIR,,10.5933,-85.544403,15,15,30,0.695238,73,7,0.314109,0.335564,4321.702833,9,0.000406
NOB,NOB,,9.97649,-85.653,1,1,2,1,1,8,0.245019,0.256148,0,9,0.000132
SJO,SJO,,9.99386,-84.208801,37,38,75,0.328592,231,7,0.324469,0.352326,53019.306652,9,0.001281
PMZ,PMZ,,8.95103,-83.468597,2,1,3,1,1,8,0.245019,0.256148,0,9,0.000128
XQP,XQP,,9.44316,-84.129799,2,2,4,0.666667,2,8,0.245038,0.256307,0.5,9,0.000185
SAL,SAL,,13.4409,-89.055702,31,32,63,0.550403,273,7,0.32317,0.349917,1947.360599,9,0.000756
CAP,CAP,,19.733,-72.194702,2,2,4,1,1,8,0.236888,0.24766,0,9,0.000092
PAP,PAP,,18.58,-72.292503,12,12,24,0.5,39,8,0.300468,0.323755,2227.208854,9,0.000336
CCC,CCC,,22.461,-78.3284,5,5,10,0.5,14,7,0.295559,0.314234,106.225721,9,0.000206
CYO,CYO,,21.616501,-81.545998,2,3,5,0.5,3,8,0.287462,0.303371,7.484519,9,0.000122
CMW,CMW,,21.4203,-77.847504,3,3,6,0.666667,2,7,0.286599,0.301909,5.06086,9,0.000105
SCU,SCU,,19.969801,-75.835403,5,4,9,0.619048,13,8,0.296199,0.315881,36.012512,9,0.000176
GAO,GAO,,20.0853,-75.158302,1,1,2,0,0,8,0.244239,0.256464,0,9,0.000067
HAV,HAV,,22.989201,-82.409103,30,31,61,0.276515,146,7,0.323137,0.353523,8828.712778,9,0.000785
HOG,HOG,,20.785601,-76.315102,5,8,13,0.777778,28,7,0.308084,0.329816,11.478075,9,0.000194
SNU,SNU,,22.492201,-79.943604,4,4,8,0.8,12,7,0.288384,0.304233,10.947555,9,0.000168
VRA,VRA,,23.034401,-81.435303,8,9,17,0.581818,32,7,0.312798,0.337127,790.378686,9,0.000254
CYB,CYB,,19.687,-79.882797,3,2,5,0.666667,2,8,0.266103,0.281892,173.312974,9,0.000131
GCM,GCM,,19.292801,-81.357697,19,18,37,0.555556,95,7,0.304921,0.327838,7988.155297,9,0.000461
MHH,MHH,,26.5114,-77.083504,6,6,12,0.533333,8,8,0.272059,0.289976,3.038046,9,0.000161
AXP,AXP,,22.441799,-73.970901,2,2,4,1,1,8,0.242471,0.252513,0,9,0.000125
TCB,TCB,,26.7453,-77.391296,1,1,2,0,0,8,0.251037,0.264413,0,9,0.000066
BIM,BIM,,25.6999,-79.264702,1,1,2,0,0,8,0.251037,0.264413,0,9,0.000066
GGT,GGT,,23.562599,-75.877998,5,6,11,0.733333,11,7,0.293465,0.312929,174.908029,9,0.000179
ELH,ELH,,25.474899,-76.683502,4,4,8,0.5,3,8,0.269267,0.286333,2.237886,9,0.000127
GHB,GHB,,25.2847,-76.331001,3,2,5,1,3,8,0.254055,0.268082,0,9,0.000116
RSD,RSD,,24.895079,-76.176882,1,1,2,0,0,8,0.242452,0.252354,0,9,0.000072
FPO,FPO,,26.558701,-78.695602,10,10,20,0.777778,35,8,0.290138,0.310104,3.723419,9,0.000229
IGA,IGA,,20.975,-73.666901,2,2,4,1,1,8,0.242471,0.252513,0,9,0.000125
LGI,LGI,,23.179001,-75.093597,1,1,2,0,0,8,0.242452,0.252354,0,9,0.000072
SML,SML,,23.582317,-75.268621,1,1,2,0,0,8,0.242452,0.252354,0,9,0.000072
MYG,MYG,,22.379499,-73.013496,2,2,4,1,1,8,0.242471,0.252513,0,9,0.000125
NAS,NAS,,25.039,-77.466202,38,37,75,0.294452,207,7,0.320016,0.345051,27493.435065,9,0.001105
ZSA,ZSA,,24.063299,-74.524002,3,3,6,0.666667,4,8,0.268509,0.285439,18.937029,9,0.000132
BZE,BZE,,17.539101,-88.308197,14,14,28,0.538462,49,8,0.306375,0.326349,4325.444885,9,0.000382
AIT,AIT,,-18.8309,-159.764008,1,2,3,1,1,9,0.228331,0.235852,0,8,0.000182
RAR,RAR,,-21.2027,-159.806,9,9,18,0.166667,6,8,0.295837,0.312601,15893.012429,8,0.000606
NAN,NAN,,-17.7554,177.442993,23,24,47,0.213768,59,8,0.309507,0.331571,38428.007739,8,0.001092
SUV,SUV,,-18.043301,178.559006,11,12,23,0.166667,11,9,0.260704,0.276532,13298.7879,8,0.000777
TBU,TBU,,-21.241199,-175.149994,4,4,8,1,6,9,0.260531,0.275261,0,8,0.000209
TRW,TRW,,1.38164,173.147003,3,3,6,0.333333,1,9,0.236549,0.246096,56.540646,8,0.000194
WLS,WLS,,-13.2383,-176.199005,3,3,6,0.333333,1,9,0.23712,0.246928,3147,8,0.000215
APW,APW,,-13.83,-172.007996,5,3,8,1,10,9,0.271965,0.287727,0,8,0.000212
PPG,PPG,,-14.331,-170.710007,1,1,2,0,0,9,0.25606,0.267575,0,9,0.00007
RUR,RUR,,-22.434099,-151.360992,3,2,5,0.666667,2,9,0.230538,0.239016,0.5,8,0.000233
TUB,TUB,,-23.3654,-149.524002,2,3,5,0.666667,2,9,0.230538,0.239016,0.5,8,0.000233
TIH,TIH,,-15.1196,-148.231003,3,2,5,1,3,9,0.230538,0.239016,0,8,0.000207
FAV,FAV,,-16.0541,-145.656998,2,2,4,1,1,9,0.230521,0.238857,0,8,0.000154
XMH,XMH,,-14.4368,-146.070007,3,3,6,0.666667,2,9,0.230538,0.239016,0.5,8,0.000221
GMR,GMR,,-23.079901,-134.889999,1,1,2,1,1,9,0.230521,0.238857,0,8,0.000164
KKR,KKR,,-15.6633,-146.884995,1,1,2,1,1,9,0.230521,0.238857,0,8,0.000169
MKP,MKP,,-16.5839,-143.658005,1,1,2,1,1,9,0.230521,0.238857,0,8,0.000164
TKP,TKP,,-14.7095,-145.246002,1,1,2,0,0,10,0.18737,0.191826,0,8,0.000124
AXR,AXR,,-15.2483,-146.617004,1,1,2,1,1,9,0.230521,0.238857,0,8,0.000169
MVT,MVT,,-14.8681,-148.716995,2,2,4,1,1,9,0.230521,0.238857,0,8,0.000154
TKX,TKX,,-14.4558,-145.024994,2,3,5,0.333333,1,9,0.230555,0.239069,3147,8,0.000269
NHV,NHV,,-8.7956,-140.229004,4,4,8,0.666667,4,9,0.230589,0.239281,3145,8,0.000298
BOB,BOB,,-16.444401,-151.751007,5,7,12,0.52381,11,9,0.230606,0.239652,4.666667,8,0.000435
RGI,RGI,,-14.9543,-147.660996,6,5,11,0.4,6,9,0.230589,0.239493,4.5,8,0.000403
HUH,HUH,,-16.687201,-151.022003,4,4,8,1,6,9,0.230555,0.239175,0,8,0.000259
MOZ,MOZ,,-17.49,-149.761993,3,4,7,1,6,9,0.230555,0.239175,0,8,0.000259
HOI,HOI,,-18.0748,-140.945999,1,2,3,0.666667,2,9,0.230538,0.239016,0.5,8,0.000237
MAU,MAU,,-16.4265,-152.244003,3,3,6,1,3,9,0.230538,0.239016,0,8,0.000204
RFP,RFP,,-16.7229,-151.466003,5,4,9,0.8,8,9,0.230572,0.239334,0.666667,8,0.000318
VLI,VLI,,-17.699301,168.320007,20,20,40,0.109524,23,9,0.262443,0.281059,53545.83517,8,0.001417
KNQ,KNQ,,-21.0543,164.837006,1,1,2,0,0,2,0.529412,0.555556,0,15,0.000153
KOC,KOC,,-20.546301,164.255997,2,2,4,1,1,2,0.5625,0.611111,0,15,0.000266
LIF,LIF,,-20.774799,167.240005,3,3,6,0.666667,2,2,0.6,0.666667,0.5,15,0.000372
GEA,GEA,,-22.258301,166.473007,9,8,17,0.083333,3,1,1,1,32.5,15,0.001118
MEE,MEE,,-21.481701,168.037994,1,1,2,0,0,2,0.529412,0.555556,0,15,0.000153
TOU,TOU,,-20.790001,165.259003,1,1,2,0,0,2,0.529412,0.555556,0,15,0.000153
UVE,UVE,,-20.6406,166.572998,2,2,4,1,1,2,0.5625,0.611111,0,15,0.000258
NOU,NOU,,-22.014601,166.212997,9,9,18,0.444444,16,8,0.288226,0.306892,3410.009864,8,0.000393
AKL,AKL,,-37.008099,174.792007,50,45,95,0.151837,186,8,0.326861,0.354942,84230.702071,8,0.002031
TUO,TUO,,-38.7397,176.084,2,2,4,1,1,9,0.246438,0.257566,0,8,0.000123
CHC,CHC,,-43.489399,172.531998,21,20,41,0.238095,50,9,0.281599,0.302204,7781.648756,8,0.000915
DUD,DUD,,-45.928101,170.197998,4,3,7,1,6,9,0.256018,0.269325,0,8,0.000195
GIS,GIS,,-38.6633,177.977997,2,2,4,1,1,9,0.246438,0.257566,0,8,0.000123
HKK,HKK,,-42.7136,170.985001,1,1,2,0,0,10,0.21974,0.228835,0,8,0.000084
HLZ,HLZ,,-37.866699,175.332001,4,4,8,1,6,9,0.246496,0.257936,0,8,0.000201
KKE,KKE,,-35.262798,173.912003,1,1,2,0,0,9,0.246361,0.257248,0,8,0.000082
KAT,KAT,,-35.07,173.285004,1,1,2,0,0,9,0.246361,0.257248,0,8,0.000082
NPL,NPL,,-39.008598,174.179001,3,3,6,1,3,9,0.246477,0.257778,0,8,0.00016
NSN,NSN,,-41.298302,173.220993,4,4,8,1,6,9,0.246496,0.257936,0,8,0.000201
IVC,IVC,,-46.412399,168.313004,2,2,4,1,1,10,0.219832,0.229258,0,8,0.000125
PMR,PMR,,-40.320599,175.617004,5,5,10,0.9,9,9,0.246515,0.258095,0.25,8,0.000245
PPQ,PPQ,,-40.904701,174.988998,2,2,4,1,1,9,0.246419,0.257513,0,8,0.000119
ZQN,ZQN,,-45.021099,168.738998,6,4,10,1,15,9,0.261375,0.276823,0,8,0.000257
ROT,ROT,,-38.1092,176.317001,3,3,6,1,3,9,0.246477,0.257778,0,8,0.00016
TRG,TRG,,-37.671902,176.195999,3,3,6,1,3,9,0.246477,0.257778,0,8,0.00016
TIU,TIU,,-44.302799,171.225006,1,1,2,0,0,10,0.207433,0.21537,0,8,0.000088
BHE,BHE,,-41.518299,173.869995,3,3,6,1,3,9,0.246477,0.257778,0,8,0.00016
WHK,WHK,,-37.920601,176.914002,1,1,2,0,0,9,0.246361,0.257248,0,8,0.000082
WLG,WLG,,-41.327202,174.804993,21,21,42,0.190476,40,9,0.261701,0.279206,8033.972449,8,0.001006
WRE,WRE,,-35.768299,174.365005,2,2,4,1,1,9,0.246438,0.257566,0,8,0.000123
WSZ,WSZ,,-41.738098,171.580994,1,1,2,0,0,10,0.207433,0.21537,0,8,0.000088
WAG,WAG,,-39.9622,175.024994,1,1,2,0,0,9,0.246361,0.257248,0,8,0.000082
HEA,HEA,,34.209999,62.228298,4,4,8,0.5,3,8,0.26989,0.285298,20.301,4,0.000134
KBL,KBL,,34.565899,69.212303,13,15,28,0.380952,40,8,0.297824,0.31956,300.87085,4,0.000354
KDH,KDH,,31.5058,65.847801,4,4,8,0.833333,5,8,0.290808,0.3081,14.209404,4,0.000132
MZR,MZR,,36.706902,67.209702,3,3,6,0.833333,5,8,0.282738,0.301364,1.74802,4,0.000125
BAH,BAH,,26.2708,50.633598,39,39,78,0.483333,377,8,0.326285,0.354327,2105.716174,4,0.000812
AHB,AHB,,18.2404,42.656601,10,11,21,0.763636,42,8,0.290567,0.308889,6.403019,4,0.00026
HOF,HOF,,25.285299,49.485199,3,3,6,1,3,8,0.268212,0.283945,0,4,0.000104
ABT,ABT,,20.296101,41.6343,3,3,6,1,3,8,0.265363,0.279826,0,4,0.000105
BHH,BHH,,19.9844,42.620899,3,3,6,1,3,8,0.265363,0.279826,0,4,0.000105
DMM,DMM,,26.471201,49.797901,46,46,92,0.34686,359,8,0.322343,0.351167,3707.331965,4,0.000991
GIZ,GIZ,,16.9011,42.5858,4,4,8,1,6,8,0.265452,0.280091,0,4,0.000124
ELQ,ELQ,,26.302799,43.774399,9,8,17,0.944444,34,8,0.296589,0.31677,1.523848,4,0.00021
URY,URY,,31.412413,37.278898,2,2,4,1,1,8,0.264916,0.279153,0,4,0.000086
HAS,HAS,,27.437901,41.686298,5,5,10,0.9,9,8,0.289764,0.307042,1.141006,4,0.00014
JED,JED,,21.6796,39.156502,95,106,201,0.145552,841,7,0.356957,0.395954,95319.2696,4,0.002496
MED,MED,,24.5534,39.705101,40,26,66,0.310976,255,8,0.306972,0.334396,6035.737879,4,0.000919
EAM,EAM,,17.611401,44.419201,3,3,6,1,3,8,0.265363,0.279826,0,4,0.000105
AQI,AQI,,28.335199,46.125099,2,2,4,1,1,8,0.264916,0.279153,0,4,0.000086
RAH,RAH,,29.6264,43.490601,1,1,2,0,0,9,0.255043,0.268649,0,4,0.000067
RUH,RUH,,24.9576,46.698799,77,76,153,0.225906,661,8,0.342323,0.378654,29035.58589,4,0.001756
RAE,RAE,,30.906601,41.138199,2,2,4,1,1,8,0.264916,0.279153,0,4,0.000086
SHW,SHW,,17.4669,47.121399,2,2,4,1,1,8,0.264916,0.279153,0,4,0.000086
TUU,TUU,,28.3654,36.6189,7,7,14,1,21,8,0.289818,0.307169,0,4,0.000178
TIF,TIF,,21.483001,40.543442,8,8,16,0.857143,24,8,0.296004,0.315827,7.844948,4,0.000191
TUI,TUI,,31.692188,38.731544,1,1,2,0,0,9,0.255043,0.268649,0,4,0.000067
EJH,EJH,,26.198601,36.476398,1,1,2,0,0,8,0.263079,0.276951,0,4,0.000067
YNB,YNB,,24.144199,38.0634,8,7,15,0.928571,26,8,0.296561,0.316611,1.523848,4,0.000191
ABD,ABD,,30.371099,48.228298,3,3,6,1,3,9,0.229999,0.241027,0,4,0.000132
MRX,MRX,,30.5562,49.151901,2,2,4,1,1,9,0.229296,0.239402,0,4,0.000107
AWZ,AWZ,,31.3374,48.762001,13,13,26,0.637363,58,8,0.290112,0.308789,1583.808472,4,0.000392
BUZ,BUZ,,28.944799,50.834599,4,4,8,0.833333,5,8,0.288754,0.305278,305.025417,4,0.00015
KIH,KIH,,26.526199,53.980202,8,7,15,0.714286,20,8,0.290165,0.307492,429.809084,4,0.00024
BDH,BDH,,26.532,54.824799,2,2,4,1,1,8,0.288094,0.30377,0,4,0.000089
KSH,KSH,,34.345901,47.1581,3,3,6,0.666667,2,8,0.282611,0.301311,279.704346,4,0.000125
SDG,SDG,,35.245899,47.009201,1,1,2,0,0,9,0.209378,0.217843,0,4,0.000083
IFN,IFN,,32.750801,51.861301,14,14,28,0.552381,58,8,0.296841,0.317987,5659.329537,4,0.00043
RAS,RAS,,37.323333,49.617778,7,7,14,0.785714,22,8,0.264205,0.280085,130.875495,4,0.000251
THR,THR,,35.689201,51.3134,33,33,66,0.124777,70,8,0.264805,0.284268,27201.123308,4,0.001426
BND,BND,,27.2183,56.3778,12,12,24,0.575758,38,8,0.288993,0.306602,819.40511,4,0.000361
KER,KER,,30.274401,56.951099,4,4,8,0.833333,5,9,0.229563,0.240196,0.2,4,0.00016
XBJ,XBJ,,32.898102,59.266102,2,2,4,1,1,9,0.229898,0.240683,0,4,0.000108
RZR,RZR,,36.909901,50.6796,2,2,4,1,1,9,0.229898,0.240683,0,4,0.000108
SYZ,SYZ,,29.5392,52.589802,22,22,44,0.359684,91,8,0.297346,0.319787,5765.820152,4,0.000643
TBZ,TBZ,,38.1339,46.235001,10,10,20,0.745455,41,8,0.296757,0.317405,685.171068,4,0.000294
AZD,AZD,,31.9049,54.276501,4,4,8,0.8,8,8,0.264116,0.279556,2.934689,4,0.000173
